Category,Model,Model Year,Manufacturer,Fuel,All Electric Range,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Transmission Make,Engine Type,Engine Size,Engine Cylinder Count,Number of Passengers,Heavy-Duty Power System,Notes
Sedan/Wagon,A8L,2020,Audi,Plug-in Hybrid Electric,17,,,54,21,27,23,Auto,,SI,3.0L,6,,,
SUV,e-tron,2020,Audi,Electric,222,78,78,78,,,,Auto,,e-motor,141 kW and 172 kW electric motor,,,,
SUV,e-tron Sportback,2020,Audi,Electric,218,76,78,77,,,,Auto,,e-motor,141 kW and 172 kW electric motor,,,,
Sedan/Wagon,Q5,2020,Audi,Plug-in Hybrid Electric,20,,,65,25,29,27,Auto,,SI,2.0L,4,,,
Sedan/Wagon,530e,2020,BMW,Plug-in Hybrid Electric,21,,,69,25,31,27,Auto,,SI,2.0L,4,,,
Sedan/Wagon,530e xDrive,2020,BMW,Plug-in Hybrid Electric,19,,,65,23,29,25,Auto,,SI,2.0L,4,,,
Sedan/Wagon,745e xDrive,2020,BMW,Plug-in Hybrid Electric,16,,,56,19,26,22,Auto,,SI,3.0L,6,,,
Sedan/Wagon,i3,2020,BMW,Electric,153,124,102,113,,,,Auto,,e-motor,125 kW electric motor,,,,
Sedan/Wagon,i3s,2020,BMW,Electric,153,124,102,113,,,,Auto,,e-motor,135 kW electric motor,,,,
Sedan/Wagon,i8 Coupe,2020,BMW,Plug-in Hybrid Electric,18,,,69,26,29,27,Auto,,SI,1.5L,3,,,
Sedan/Wagon,i8 Roadster,2020,BMW,Plug-in Hybrid Electric,18,,,69,26,29,27,Auto,,SI,1.5L,3,,,
Sedan/Wagon,e6,2020,BYD Motors,Electric,187,73,71,72,,,,Auto,,e-motor,75 kW electric motor,,,,
Sedan/Wagon,Bolt EV,2020,Chevrolet,Electric,259,127,108,118,,,,,,e-motor,150 kW electric motor,,,,
Van,Pacifica Hybrid,2020,Chrysler,Plug-in Hybrid Electric,32,82,,,29,30,30,Auto,,SI,3.6L,6,,,
Sedan/Wagon,Fusion Energi Plug in Hybrid FWD,2020,Ford,Plug-in Hybrid Electric,26,,,103,43,40,42,Auto,,SI,2.0L,4,,,
Sedan/Wagon,Fusion Special Service PHEV,2020,Ford,Plug-in Hybrid Electric,26,,,102,43,40,42,Auto,,SI,2.0L,4,,,
Sedan/Wagon,Clarity PHEV,2020,Honda,Plug-in Hybrid Electric,48,,,110,44,40,42,Auto,,SI,1.5L,4,,,
Sedan/Wagon,Ioniq Electric,2020,Hyundai,Electric,170,145,121,133,,,,Auto,,e-motor,88 kW electric motor,,,,
Sedan/Wagon,Ioniq Plug-in Hybrid,2020,Hyundai,Plug-in Hybrid Electric,29,,,119,53,52,52,Auto,,SI,1.6L,4,,,
SUV,Kona Electric,2020,Hyundai,Electric,258,132,108,120,,,,Auto,,e-motor,150 kW electric motor,,,,
SUV,I-PACE,2020,Jaguar,Electric,234,80,72,76,,,,Auto,,e-motor,201 kW electric motor,,,,
Sedan/Wagon,"Revero GT (21"" wheels)",2020,Karma,Plug-in Hybrid Electric,61,70,,,27,25,26,Auto,,SI,1.5L,3,,,
Sedan/Wagon,Niro Electric,2020,Kia,Electric,239,123,102,112,,,,Auto,,e-motor,150 kW electric motor,,,,
Sedan/Wagon,Niro Plug-in Hybrid,2020,Kia,Plug-in Hybrid Electric,26,,,105,48,44,46,Auto,,SI,1.6L,4,,,
Sedan/Wagon,Optima Plug-In Hybrid,2020,Kia,Plug-in Hybrid Electric,28,,,101,39,40,41,Auto,,SI,2.0L,4,,,
Sedan/Wagon,Soul,2020,Kia,Electric,243,127,101,114,,,,Auto,,e-motor,201 kW electric motor,,,,
SUV,Range Rover PHEV,2020,Land Rover,Plug-in Hybrid Electric,19,,,42,18,21,19,Auto,,CI,2.0L,4,,,
SUV,Range Rover Sport PHEV,2020,Land Rover,Plug-in Hybrid Electric,19,,,42,18,21,19,Auto,,CI,2.0L,4,,,
SUV,Aviator AWD PHEV,2020,Lincoln,Plug-in Hybrid Electric,21,,,56,22,25,23,Auto,,CI,3.0L,6,,,
Sedan/Wagon,Cooper SE Countryman ALL4,2020,Mini,Plug-in Hybrid Electric,18,,,73,29,30,29,Auto,,SI,1.5L,3,,,
Sedan/Wagon,Cooper SE Hardtop 2 door,2020,Mini,Electric,110,115,100,108,,,,Auto,,e-motor,135 kW electric motor,,,,
SUV,Outlander PHEV,2020,Mitsubishi,Plug-in Hybrid Electric,22,,,74,25,26,25,Auto,,SI,2.0L,4,,,
Sedan/Wagon,Panamera 4 e-Hybrid,2020,Porsche,Plug-in Hybrid Electric,14,,,51,21,24,23,Auto,,SI,2.9L,6,,,
Sedan/Wagon,Panamera 4 e-Hybrid Executive,2020,Porsche,Plug-in Hybrid Electric,14,,,51,21,24,23,Auto,,SI,2.9L,6,,,
Sedan/Wagon,Panamera 4 e-Hybrid ST,2020,Porsche,Plug-in Hybrid Electric,14,,,51,21,24,23,Auto,,SI,2.9L,6,,,
Sedan/Wagon,Panamera Turbo S e-Hybrid,2020,Porsche,Plug-in Hybrid Electric,14,,,48,19,22,20,Auto,,SI,4.0L,8,,,
Sedan/Wagon,Panamera Turbo S e-Hybrid Executive,2020,Porsche,Plug-in Hybrid Electric,14,,,48,19,22,20,Auto,,SI,4.0L,8,,,
Sedan/Wagon,Panamera Turbo S e-Hybrid ST,2020,Porsche,Plug-in Hybrid Electric,14,,,48,19,22,20,Auto,,SI,4.0L,8,,,
Sedan/Wagon,Taycan Turbo,2020,Porsche,Electric,201,68,69,71,,,,Auto,,e-motor,170 kW electric motor,,,,
Sedan/Wagon,Taycan Turbo S,2020,Porsche,Electric,192,67,68,68,,,,Auto,,e-motor,170 kW electric motor,,,,
SUV,Crosstrek Hybrid AWD,2020,Subaru,Plug-in Hybrid Electric,17,,,90,36,35,35,Auto,,,2.0L,4,,,
Sedan/Wagon,Model 3 Long Range,2020,Tesla,Electric,330,136,123,130,,,,Auto,,e-motor,211 kW electric motor,,,,
Sedan/Wagon,Model 3 Long Range AWD,2020,Tesla,Electric,322,124,116,121,,,,Auto,,e-motor,147 kW and 188 kW electric motor,,,,
Sedan/Wagon,"Model 3 Long Range Performance AWD (18"" Wheels)",2020,Tesla,Electric,322,124,116,121,,,,Auto,,e-motor,147 kW and 188 kW electric motor,,,,"This model is also available with 19"" or 20"" wheels, at reduced fuel economy and range."
Sedan/Wagon,Model 3 Mid Range,2020,Tesla,Electric,264,128,117,123,,,,Auto,,e-motor,211 kW electric motor,,,,
Sedan/Wagon,Model 3 Standard Range,2020,Tesla,Electric,220,138,124,133,,,,Auto,,e-motor,211 kW electric motor,,,,
Sedan/Wagon,Model 3 Standard Range Plus,2020,Tesla,Electric,250,148,141,132,,,,Auto,,e-motor,211 kW electric motor,,,,
Sedan/Wagon,Model S Long Range,2020,Tesla,Electric,373,115,107,111,,,,Auto,,e-motor,193 kW and 205 kW electric motor,,,,
Sedan/Wagon,"Model S Performance (19"" Wheels)",2020,Tesla,Electric,348,104,104,104,,,,Auto,,e-motor,193 kW and 205 kW electric motor,,,,"This model is also available with 21"" wheels, at reduced fuel economy and 326 miles range."
Sedan/Wagon,Model S Standard Range,2020,Tesla,Electric,287,113,105,109,,,,Auto,,e-motor,193 kW and 205 kW electric motor,,,,
SUV,Model X Long Range,2020,Tesla,Electric,328,99,93,96,,,,Auto,,e-motor,193 and 205 kW electric motor,,,,
SUV,"Model X Performance (20"" Wheels)",2020,Tesla,Electric,305,90,89,90,,,,Auto,,e-motor,205 and 375 kW electric motors,,,,"This model is also available with 22"" wheels, at reduced fuel economy and 272 miles range."
SUV,Model X Standard Range,2020,Tesla,Electric,258,105,98,101,,,,Auto,,e-motor,193 and 205 kW electric motor,,,,
Sedan/Wagon,Prius Prime,2020,Toyota,Plug-in Hybrid Electric,25,,,133,55,53,54,Auto,,,1.8L,4,,,
Sedan/Wagon,e-Golf,2020,Volkswagen,Electric,123,122,104,113,,,,Auto,,e-motor,100 kW electric motor,,,,
SUV,S60 AWD,2020,Volvo,Plug-in Hybrid Electric,22,,,69,28,33,30,Auto,,SI,2.0L,4,,,
Sedan/Wagon,S90 AWD,2020,Volvo,Plug-in Hybrid Electric,21,,,60,28,31,30,Auto,,SI,2.0L,4,,,
SUV,V60 AWD,2020,Volvo,Plug-in Hybrid Electric,22,,,69,28,33,30,Auto,,SI,2.0L,4,,,
SUV,XC60 AWD,2020,Volvo,Plug-in Hybrid Electric,19,,,57,26,28,27,Auto,,SI,2.0L,4,,,
SUV,XC90 AWD,2020,Volvo,Plug-in Hybrid Electric,18,,,55,26,28,27,Auto,,SI,2.0L,4,,,
SUV,e-tron,2019,Audi,Electric,204,73,74,74,,,,Auto,,e-motor,141 kW and 172 kW electric motor,,,,
Sedan/Wagon,530e,2019,BMW,Plug-in Hybrid Electric,16,,,72,27,30,29,Auto,,SI,2.0L,4,,,
Sedan/Wagon,530e xDrive,2019,BMW,Plug-in Hybrid Electric,15,,,67,27,31,28,Auto,,SI,2.0L,4,,,
Sedan/Wagon,740e xDrive,2019,BMW,Plug-in Hybrid Electric,14,,,64,25,29,27,Auto,,SI,2.0L,4,,,
Sedan/Wagon,i3,2019,BMW,Electric,153,124,102,113,,,,Auto,,e-motor,135 kW electric motor,,,,
Sedan/Wagon,i3s,2019,BMW,Electric,153,124,102,113,,,,Auto,,e-motor,135 kW electric motor,,,,
Sedan/Wagon,i3s with Range Extender,2019,BMW,Electric,126,,,110,30,31,31,Auto,,e-motor,135 kW,,,,
Sedan/Wagon,i3 with Range Extender,2019,BMW,Electric,126,,,100,30,31,31,Auto,,e-motor,125 kW,,,,
Sedan/Wagon,i8 Coupe,2019,BMW,Plug-in Hybrid Electric,18,,,69,26,29,26,Auto,,SI,1.5L,3,,,
Sedan/Wagon,i8 Roadster,2019,BMW,Plug-in Hybrid Electric,18,,,69,26,29,26,Auto,,SI,1.5L,3,,,
Sedan/Wagon,e6,2019,BYD Motors,Electric,187,73,71,72,,,,Auto,,e-motor,75 kW electric motor,,,,
Sedan/Wagon,Bolt EV,2019,Chevrolet,Electric,238,128,110,119,,,,,,e-motor,150 kW electric motor,,,,
Sedan/Wagon,Volt,2019,Chevrolet,Plug-in Hybrid Electric,53,,,110,43,42,42,Auto,,SI,1.5L,4,,,
Van,Pacifica Hybrid,2019,Chrysler,Plug-in Hybrid Electric,32,,,82,29,30,30,Auto,,SI,3.6L,6,,,
Sedan/Wagon,500e,2019,Fiat,Electric,84,121,103,112,,,,Auto,,e-motor,82 kW electric motor,,,,
Pickup,F-150,2019,Ford,Plug-in Hybrid Electric,,,,,,,,Auto,,SI,"2.7L, 3.3L",6,,,"This vehicle is available with a plug-in hybrid electric power train developed and installed by XL, an approved qualified vehicle modifier (QVM). It is available for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Sedan/Wagon,Fusion Energi Plug in Hybrid FWD,2019,Ford,Plug-in Hybrid Electric,26,,,103,43,40,42,Auto,,SI,2.0L,4,,,
Sedan/Wagon,Fusion Special Service Vehicle PHEV,2019,Ford,Plug-in Hybrid Electric,26,,,102,43,40,42,Auto,,SI,2.0L,4,,,
Pickup,Super Duty F-250 2WD/4WD,2019,Ford,Plug-in Hybrid Electric,,,,,,,,Auto,,SI,6.2L,8,,,"This vehicle is available with a plug-in hybrid electric power train developed and installed by XL, an approved qualified vehicle modifier (QVM). It is available for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Van,Transit Van/Wagon,2019,Ford,Electric,60,,,,,,,Auto,,e-motor,160 kW electric motor,,,,"This vehicle is available with an electric power train developed and installed by Lightning Systems, an approved qualified vehicle modifier (QVM). It is available for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Van,Transit Van/Wagon,2019,Ford,Electric,120,,,,,,,Auto,,e-motor,160 kW electric motor,,,,"This vehicle is available with an electric power train developed and installed by Lightning Systems, an approved qualified vehicle modifier (QVM). It is available for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Sedan/Wagon,Clarity,2019,Honda,Electric,89,126,103,114,,,,Auto,,e-motor,120 kW electric motor,,,,
Sedan/Wagon,Clarity PHEV,2019,Honda,Plug-in Hybrid Electric,48,,,110,44,40,42,Auto,,SI,1.5L,4,,,
Sedan/Wagon,Ioniq Electric,2019,Hyundai,Electric,124,150,122,136,,,,Auto,,e-motor,88 kW electric motor,,,,
Sedan/Wagon,Ioniq Plug-in Hybrid,2019,Hyundai,Plug-in Hybrid Electric,29,,,119,53,52,52,Auto,,SI,1.6L,4,,,
SUV,Kona Electric,2019,Hyundai,Electric,258,132,108,120,,,,Auto,,e-motor,150 kW electric motor,,,,
SUV,I-PACE,2019,Jaguar,Electric,239,80,72,76,,,,Auto,,e-motor,147 kW electric motor,,,,
Sedan/Wagon,Revero,2019,Karma,Plug-in Hybrid Electric,37,60,,,19,21,20,Auto,,SI,2.0L,4,,,
Sedan/Wagon,Niro Electric,2019,Kia,Electric,239,123,102,112,,,,Auto,,e-motor,150 kW electric motor,,,,
Sedan/Wagon,Niro Plug-in Hybrid,2019,Kia,Plug-in Hybrid Electric,26,,,105,48,44,46,Auto,,SI,1.6L,4,,,
Sedan/Wagon,Optima Plug-In Hybrid,2019,Kia,Plug-in Hybrid Electric,29,,,103,38,43,40,Auto,,SI,2.0L,4,,,
Sedan/Wagon,Soul,2019,Kia,Electric,111,124,93,108,,,,Auto,,e-motor,81 kW electric motor,,,,
SUV,GLC 350e 4MATIC,2019,Mercedes-Benz,Plug-in Hybrid Electric,10,,,56,24,27,25,Auto,,SI,2.0L ,4,,,
SUV,S 560e,2019,Mercedes-Benz,Plug-in Hybrid Electric,19,64,,,21,26,23,Auto,,SI,3.0L,4,,,
Sedan/Wagon,Cooper SE Countryman ALL4,2019,Mini,Plug-in Hybrid Electric,12,,,65,28,27,27,Auto,,SI,1.5L,3,,,
SUV,Outlander PHEV,2019,Mitsubishi,Plug-in Hybrid Electric,22,,,74,25,26,25,Auto,,SI,2.0L,4,,,
Sedan/Wagon,Leaf (40 kWh battery pack),2019,Nissan,Electric,150,124,99,112,,,,Auto,,e-motor,110 kW electric motor,,,,
Sedan/Wagon,Leaf (62 kWh battery pack),2019,Nissan,Electric,226,118,97,108,,,,Auto,,e-motor,160 kW electric motor,,,,
Sedan/Wagon,Leaf SV/SL (62 kWh battery pack),2019,Nissan,Electric,215,114,94,104,,,,Auto,,e-motor,160 kW electric motor,,,,
SUV,Cayenne e-Hybrid,2019,Porsche,Plug-in Hybrid Electric,13,46,,,21,23,22,Auto,,SI,3.0L ,6,,,
Sedan/Wagon,Panamera 4 e-Hybrid,2019,Porsche,Plug-in Hybrid Electric,14,,,51,21,24,23,Auto,,SI,2.9L,6,,,
Sedan/Wagon,Panamera 4 e-Hybrid Executive,2019,Porsche,Plug-in Hybrid Electric,14,,,51,21,24,23,Auto,,SI,2.9L,6,,,
Sedan/Wagon,Panamera 4 e-Hybrid ST,2019,Porsche,Plug-in Hybrid Electric,14,,,51,21,24,23,Auto,,SI,2.9L,6,,,
Sedan/Wagon,Panamera Turbo S e-Hybrid,2019,Porsche,Plug-in Hybrid Electric,14,,,48,19,22,20,Auto,,SI,4.0L,8,,,
Sedan/Wagon,Panamera Turbo S e-Hybrid Executive,2019,Porsche,Plug-in Hybrid Electric,14,,,48,19,22,20,Auto,,SI,4.0L,8,,,
Sedan/Wagon,Panamera Turbo S e-Hybrid ST,2019,Porsche,Plug-in Hybrid Electric,14,,,48,19,22,20,Auto,,SI,4.0L,8,,,
Sedan/Wagon,EQ fortwo convertible,2019,smart,Electric,57,112,91,102,,,,Auto,,e-motor,60 kW electric motor,,,,
Sedan/Wagon,EQ fortwo coupe,2019,smart,Electric,58,124,94,108,,,,Auto,,e-motor,60 kW electric motor,,,,
SUV,Crosstrek Hybrid AWD,2019,Subaru,Plug-in Hybrid Electric,17,,,90,36,35,35,Auto,,,2.0L,4,,,
Sedan/Wagon,Model 3 Long Range,2019,Tesla,Electric,310,136,123,130,,,,Auto,,e-motor,211 kW electric motor,,,,
Sedan/Wagon,Model 3 Long Range AWD,2019,Tesla,Electric,310,120,112,116,,,,Auto,,e-motor,147 kW and 188 kW electric motor,,,,
Sedan/Wagon,Model 3 Long Range AWD Performance,2019,Tesla,Electric,310,120,112,116,,,,Auto,,e-motor,147 kW and 211 kW electric motor,,,,
Sedan/Wagon,Model 3 Mid Range,2019,Tesla,Electric,264,128,117,123,,,,Auto,,e-motor,202 kW electric motor,,,,
