Category,Model,Model Year,Manufacturer,Fuel,All Electric Range,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Transmission Make,Engine Type,Engine Size,Engine Cylinder Count,Number of Passengers,Heavy-Duty Power System,Notes
Sedan/Wagon,Model 3 Standard Range,2019,Tesla,Electric,220,138,124,131,,,,Auto,,e-motor,211 kW electric motor,,,,
Sedan/Wagon,Model 3 Standard Range Plus,2019,Tesla,Electric,240,140,124,133,,,,Auto,,e-motor,211 kW electric motor,,,,
Sedan/Wagon,Model S 100D,2019,Tesla,Electric,335,101,102,102,,,,Auto,,e-motor,193 kW electric motor (X2),,,,
Sedan/Wagon,Model S 75D,2019,Tesla,Electric,259,102,105,103,,,,Auto,,e-motor,193 kW electric motor (X2),,,,
Sedan/Wagon,Model S Long Range,2019,Tesla,Electric,370,115,107,111,,,,Auto,,e-motor,193 kW and 205 kW electric motor,,,,
Sedan/Wagon,Model S P100D,2019,Tesla,Electric,315,92,105,98,,,,Auto,,e-motor,193 kW and 375 kW electric motor,,,,
Sedan/Wagon,"Model S Performance (19"" Wheels)",2019,Tesla,Electric,345,104,104,104,,,,Auto,,e-motor,193 kW and 205 kW electric motor,,,,
Sedan/Wagon,Model S Standard Range,2019,Tesla,Electric,285,113,105,109,,,,Auto,,e-motor,193 kW and 205 kW electric motor,,,,
SUV,Model X 100D,2019,Tesla,Electric,295,86,89,87,,,,Auto,,e-motor,193 kW and 193 kW electric motor,,,,
SUV,Model X 75D,2019,Tesla,Electric,238,91,95,93,,,,Auto,,e-motor,193 kW electric motor (X2),,,,
SUV,Model X Long Range,2019,Tesla,Electric,325,99,93,96,,,,Auto,,e-motor,"193, 205, 375 kW electric motor",,,,
SUV,Model X P100D,2019,Tesla,Electric,289,83,89,85,,,,Auto,,e-motor,193 kW and 375 kW electric motor,,,,
SUV,"Model X Performance (22"" Wheels)",2019,Tesla,Electric,270,80,77,79,,,,Auto,,e-motor,"193, 205, 375 kW electric motor",,,,
Sedan/Wagon,Prius Prime,2019,Toyota,Plug-in Hybrid Electric,25,,,133,55,53,54,Auto,,,1.8L,4,,,
Sedan/Wagon,e-Golf,2019,Volkswagen,Electric,125,126,111,119,,,,Auto,,e-motor,100 kW electric motor,,,,
SUV,S60 AWD,2019,Volvo,Plug-in Hybrid Electric,22,,,74,29,34,31,Auto,,SI,2.0L,4,,,
Sedan/Wagon,S90 AWD,2019,Volvo,Plug-in Hybrid Electric,21,,,71,26,33,29,Auto,,SI,2.0L,4,,,
SUV,XC60 AWD,2019,Volvo,Plug-in Hybrid Electric,17,,,58,25,28,26,Auto,,SI,2.0L,4,,,
SUV,XC90 AWD,2019,Volvo,Plug-in Hybrid Electric,17,,,58,24,27,25,Auto,,SI,2.0L,4,,,
sedan/Wagon,i3 BEV,2017,BMW,Electric,,137,111,124,,,,Auto,,e-motor,125 kW electric motor - 60 Amp-hour battery,,,,
sedan/Wagon,i3 BEV,2017,BMW,Electric,,129,106,117.5,,,,Auto,,e-motor,125 kW electric motor - 94 Amp-hour battery,,,,
sedan/Wagon,Bolt,2017,Chevrolet,Electric,,128,110,119,,,,Auto,,e-motor,150 kW electric motor,,,,
sedan/Wagon,500e,2017,Fiat,Electric,,,,,,,,Auto,,e-motor,82 kW electric motor,,,,
sedan/Wagon,Ioniq,2017,Hyundai,,,,,,,,,Auto,,,NA/88 kW/28 kW,,,,
,B250e,2017,Mercedes-Benz,Electric,,,,,,,,Auto,,e-motor,132 kW electric motor,,,,
,i-MiEV,2017,Mitsubishi,,,,,,,,,Auto,,,,,,,
sedan/Wagon,Model S,2017,Tesla,Electric,,,,,,,,Auto,,e-motor,300 kW electric motor 60 kWh battery,,,,
sedan/Wagon,e-Golf,2017,Volkswagen,Electric,,,,,,,,Auto,,SI,85 kW electric motor 24.2 kWh battery,,,,
Sedan/Wagon,i3,2016,BMW,Electric,,137,111,124,,,,Auto,,e-motor,125 kW electric motor 21 kWh battery,,,,
Sedan/Wagon,Spark,2016,Chevrolet,plug-in Hybrid Electric,,128,108,118,,,,Auto,,SI,104 kW electric motor 20 kWh battery,,,,
Sedan/Wagon,500e,2016,Fiat,,,122,108,115,,,,Auto,,e-motor,83kW electric motor 24 kWh battery,,,,
Sedan/Wagon,Focus,2016,Ford,,,110,99,105,,,,Auto,,,107 kW electric motor 23 kWh battery,,,,
Sedan/Wagon,B250e,2016,Mercedes-Benz,,,85,82,84,,,,Auto,,,132 kW electric motor 28 kWh battery,,,,
Sedan/Wagon,i-MiEV,2016,Mitsubishi,,,126,99,113,,,,Auto,,,,,,,
Sedan/Wagon,Leaf,2016,Nissan,,,126,101,114,,,,Auto,,SI,80 kW electric motor 24 kWh battery,,,,
Sedan/Wagon,fortwo,2016,Smart,,,122,93,108,,,,Auto,,SI,55 kW electric motor 17.6 kWh battery,,,,
Sedan/Wagon,Model S,2016,Tesla,,,88,90,89,,,,Auto,,e-motor,285 kW electric motor 70 kWh battery,,,,
Sedan/Wagon,Model S AWD,2016,Tesla,,,95,106,101,,,,Auto,,e-motor,350/285 kW electric motor 90 kWh battery,,,,
SUV,Model X AWD 90D,2016,Tesla,,,90,94,92,,,,Auto,,e-motor,193/193 kW electric motor 90 kWh battery,,,,
SUV,Model X AWD P90D,2016,Tesla,,,89,90,90,,,,Auto,,e-motor,193/375 kW electric motor 90 kWh battery,,,,
Sedan/Wagon,e-Golf,2016,Volkswagen,,,126,105,116,,,,Auto,,SI,85 kW electric motor 24.2 kWh battery,,,,
Sedan/Wagon,i3,2015,BMW,Electric,,137,111,124,,,,Auto,,e-motor,"125 kW electric motor, 21 kWh battery",,,,
Sedan/Wagon,Spark,2015,Chevrolet,plug-in Hybrid Electric,,128,109,119,,,,Auto,,SI,"104 kW electric motor, 20 kWh battery",,,,
Sedan/Wagon,500e,2015,Fiat,,,122,108,115,,,,Auto,,e-motor,"83kW electric motor, 24 kWh battery",,,,
Sedan/Wagon,Focus,2015,Ford,,,110,99,105,,,,Auto,,,"107 kW electric motor, 23 kWh battery",,,,
Sedan/Wagon,Soul,2015,Kia,,,120,92,106,,,,Auto,,e-motor,"50 kW electric motor, 16.4 kWh battery",,,,
Sedan/Wagon,B-Class Electric,2015,Mercedes-Benz,,,85,83,84,,,,Auto,,,"132 kW electric motor, 28 kWh battery",,,,
Sedan/Wagon,i-MiEV,2015,Mitsubishi,,,126,99,113,,,,Auto,,,,,,,
Sedan/Wagon,Leaf,2015,Nissan,,,126,101,114,,,,Auto,,e-motor,"80 kW electric motor, 24 kWh battery",,,,
Sedan/Wagon,fortwo,2015,Smart,,,122,93,108,,,,Auto,,e-motor,"55 kW electric motor, 17.6 kWh battery",,,,
Sedan/Wagon,Model S,2015,Tesla,,,94,97,96,,,,Auto,,e-motor,"300 kW electric motor, 60 kWh battery",,,,
Sedan/Wagon,e-Golf,2015,Volkswagen,,,,,,,,,Auto,,e-motor,"85 kW electric motor, 24.2 kWh battery",,,,
Sedan/Wagon,i3,2014,BMW,Electric,,,,,,,,Auto,,e-motor,125 kW electric motor,,,,
Sedan/Wagon,Spark,2014,Chevrolet,plug-in Hybrid Electric,,128,109,119,,,,Auto,,SI,104 kW electric motor,,,,
Sedan/Wagon,500e,2014,Fiat,,,122,108,115,,,,Auto,,,83kW electric motor,,,,
Sedan/Wagon,Focus,2014,Ford,,,110,99,105,,,,Auto,,,107 kW electric motor,,,,
Sedan/Wagon,Fit,2014,Honda,,,132,105,119,,,,Auto,,,92 kW electric motor,,,,
Sedan/Wagon,Soul,2014,Kia,,,,,,,,,Auto,,,50 kW electric motor,,,,
Sedan/Wagon,B-Class Electric,2014,Mercedes-Benz,,,,,,,,,Auto,,,100 kW electric motor,,,,
Sedan/Wagon,i-MiEV,2014,Mitsubishi,,,126,99,113,,,,Auto,,,,,,,
Sedan/Wagon,Leaf,2014,Nissan,,,,,,,,,Auto,,,80 kW electric motor,,,,
Sedan/Wagon,iQ EV,2014,Scion,,,138,105,122,,,,Auto,,,47 kW electric motor,,,,
Sedan/Wagon,fortwo,2014,Smart,,,122,93,108,,,,Auto,,,55 kW electric motor,,,,
Sedan/Wagon,Model S,2014,Tesla,,,94,97,96,,,,Auto,,e-motor,300 kW electric motor,,,,
SUV,RAV 4 EV,2014,Toyota,,,78,74,76,,,,Auto,,,115 kW electric motor,,,,
Sedan/Wagon,CODA,2013,Coda Automotive,,,77,68,73,,,,,,Electric,100 kW e-motor,,,,
Sedan/Wagon,500e,2013,Fiat,,,116,100,108,,,,Auto,,,100 kW e-motor,,,,
Sedan/Wagon,Focus,2013,Ford,,,110,99,105,,,,Auto,,,107 kW e-motor,,,,
Sedan/Wagon,FIT EV,2013,Honda,,,132,105,119,,,,,,,92 kW e-motor,,,,
Sedan/Wagon,i-MiEV,2013,Mitsubishi,,,126,99,113,,,,,,,,,,,
Sedan/Wagon,Leaf,2013,Nissan,,,106,92,99,,,,,,,80 kW e-motor,,,,
Sedan/Wagon,iQ EV,2013,Scion,,,138,105,122,,,,Auto,,,47 kW e-motor,,,,
Sedan/Wagon,ForTwo,2013,Smart,,,112,88,100,,,,,,,55 kW e-motor,,,,
Sedan/Wagon,Model S,2013,Tesla,,,88,90,89,,,,Auto,,e-motor,300 kW e-motor,,,,
SUV,RAV 4 EV,2013,Toyota,,,78,74,76,,,,Auto,,,115 kW e-motor,,,,
Sedan/Wagon,CODA,2012,Coda Automotive,,,77,68,73,,,,Automatic,,,100kW e-motor,,,,
Sedan/Wagon,Focus EV,2012,Ford,,,,,,,,,,,105 kW e-motor,,,,,
Van,Ford Azure Transit Connect,2012,Ford,,,62,62,62,,,,,,52 kW e-motor,,,,,
Sedan/Wagon,Fit EV,2012,Honda,,,,,,,,,3 mode / 1 speed,,,,,,,
Sedan/Wagon,Mitusbishi i,2012,Mitsubishi,,,126,99,113,,,,,,,,,,,
Sedan/Wagon,Leaf,2012,Nissan,,,106,92,99,,,,Automatic / 1 speed,,80 kW e-motor,,,,,
Sedan/Wagon,Model S,2012,Tesla Motors,,,88,90,89,,,,Auto,,e-motor,,,,,
SUV,RAV4 EV,2012,Toyota,,,,,,,,,,,,,,,,
Sedan/Wagon,LiFe,2012,"Wheego Electric Cars, Inc.",,,,,,,,,,,15 kW e-motor,,,,,
Van,Ford  Azure Transit Connect,2011,Ford,,,62,,,,,,,,52 kW e-motor,,,,,
Sedan/Wagon,Leaf,2011,Nissan,,,,,,,,,None,,,,,,,
Sedan/Wagon,LEAF,2011,Nissan,,,,,,,,,None,,AC electric motor,,,,,
Sedan/Wagon,Roadster 2.5,2011,Tesla Motors,,,,,,,,,,,,,,,,
Sedan/Wagon,Roadster,2010,Tesla Motors,,,,,,,,,,,,,,,,
Sedan/Wagon,Roadster 2.5,2009,Tesla Motors,,,,,,,,,,,,,,,,
Van,Citivan,2004,Solectria,,,800,800,800,,,,Single-speed automatic,,110kW Solectria AC Induction Direct-Drive,,,,,
Sedan/Wagon,TH!NK City,2003,Ford,,,,,,,,,,,Three-phase AC induction,,,,,
Sedan/Wagon,Altra EV,2003,Nissan,,,26,29,28,,,,transaxle w/2-stage gear set,,Permanent Magnet Synchronous Motor,,,,,
Sedan/Wagon,Hypermini,2003,Nissan,,,,,,,,,,,Neodymium Magnet AC Synchronous,,,,,
Van,Citivan,2003,Solectria,,,800,800,800,,,,Single-speed automatic,,110kW Solectria AC Induction Direct-Drive,,,,,
SUV,RAV4-EV,2003,Toyota,,,27,34,31,,,,Single speed,,Permanent-Magnet 50 kW DC,,,,,
Truck,Ranger EV(Lead Acid),2002,Ford,,,38,44,41,,,,single-speed,,"High Efficiency, liquid cooled, 3-phase 67 kW AC induction",,,,,
Sedan/Wagon,Th!NK City,2002,Ford,,,,,,,,,,,Three-phase AC induction,,,,,
Sedan/Wagon,Altra EV,2002,Nissan,,,26,29,28,,,,transaxle w/2-stage gear set,,Permanent Magnet Synchronous Motor,,,,,
Sedan/Wagon,Hypermini,2002,Nissan,,,,,,,,,,,Neodymium Magnet AC Synchronous,,,,,
Van,Citivan,2002,Solectria,,,,,,,,,Type Single-speed automatic,,70kW Solectria AC Induction Direct-Drive,,,,,
SUV,RAV4-EV,2002,Toyota,,,29,37,33,,,,single speed,,Permanent-Magnet 50 kW DC,,,,,
Truck,Ranger EV(Lead Acid),2001,Ford,,,38,44,41,,,,single-speed,,"High Efficiency, liquid cooled, 3-phase 67 kW AC induction",,,,,
Sedan/Wagon,EV1-Lead Acid,2001,General Motors EV,,,26,26,26,,,,single speed w/dual reduction,,"Three Phase, Alternating Current, AC Induction",,,,,
Sedan/Wagon,EV1-NiMH,2001,General Motors EV,,,34,30,32,,,,single speed w/dual reduction,,,,,,,
Sedan/Wagon,Altra EV,2001,Nissan,,,26,29,28,,,,transaxle w/2-stage gear set,,Permanent Magnet Synchronous Motor,,,,,
Sedan/Wagon,Hypermini (CA only),2001,Nissan,,,,,,,,,,,Neodymium Magnet AC Synchronous,,,,,
Van,Citivan,2001,Solectria,,,,,,,,,Type Single-speed automatic,,70kW Solectria AC Induction Direct-Drive,,,,,
Truck,Flash,2001,Solectria,,,,,,,,,"single-speed, fixed ratio",,34kW AC Induction Drive,,,,,
Sedan/Wagon,Force,2001,Solectria,,,13.7,,,,,,"single-speed, fixed ratio",,,,,,,
Sedan/Wagon,E-COM,2001,Toyota,,,,,,,,,,,Permanent-Magnet,,,,,
SUV,RAV4-EV,2001,Toyota,,,29,37,33,,,,single speed,,Permanent-Magnet 50 kW DC,,,,,
Truck,Chevrolet S-10 NiMH,2000,Chevrolet,,,94,86,90,,,,single-speed,,,,,,,
Truck,Chevrolet S-10 PbA,2000,Chevrolet,,,45,41,43,,,,single-speed,,,,,,,
Van,Voyager EPIC,2000,Chrysler,,,67,73,70,,,,single-speed,,,,,,,
Van,Caravan EPIC,2000,Dodge,,,67,,34,,,,single-speed,,,,,,,
Truck,Ranger EV-NiMH PbA,2000,Ford,,,38,44,41,,,,single-speed,,,,,,,
Sedan/Wagon,Th!NK City-sel mrkts,2000,Ford,,,,,,,,,,,Three-phase AC induction,,,,,
Sedan/Wagon,EV1-Lead Acid,2000,General Motors EV,,,26,26,26,,,,single speed w/dual reduction,,"Three Phase, Alternating Current, AC Induction",,,,,
Sedan/Wagon,EV1-NiMH,2000,General Motors EV,,,34,30,32,,,,single speed w/dual reduction,,,,,,,
Sedan/Wagon,Altra EV,2000,Nissan,,,26,29,28,,,,transaxle w/2-stage gear set,,,,,,,
Truck,Flash,2000,Solectria,,,,,,,,,"single-speed, fixed ratio",,,,,,,
Sedan/Wagon,Force NiCd PbA NiMH,2000,Solectria,,,13.7,,,,,,"single-speed, fixed ratio",,,,,,,
SUV,RAV4-EV,2000,Toyota,,,29,37,33,,,,single speed,,,,,,,
Truck,Chevrolet S-10 L/A,1999,Chevrolet,,,45,41,43,,,,single-speed,,,,,,,
Truck,Chevrolet S-10 NiMH,1999,Chevrolet,,,94,86,90,,,,single-speed,,,,,,,
Van,Epic Minivan,1999,Chrysler,,,67,73,70,,,,single-speed,,,,,,,
Van,Caravan EPIC,1999,Dodge,,,67,,34,,,,single-speed,,,,,,,
Truck,Ranger EV-Lead Acid,1999,Ford,,,38,44,41,,,,single-speed,,,,,,,
Truck,Ranger EV-NiMH,1999,Ford,,,0,0,0,,,,single-speed,,,,,,,
Sedan/Wagon,EV1-Lead Acid,1999,General Motors EV,,,30,25,28,,,,single speed w/dual reduction,,"Three Phase, Alternating Current, AC Induction",,,,,
Sedan/Wagon,EV1-NiMH,1999,General Motors EV,,,34,30,32,,,,single speed w/dual reduction,,,,,,,
Sedan/Wagon,EV Plus,1999,Honda,,,49,51,50,,,,"single-speed, reduction gear",,,,,,,
Sedan/Wagon,Altra EV,1999,Nissan,,,30,34,32,,,,transaxle w/2-stage gear set,,,,,,,
Van,CitiVan,1999,Solectria,,,8.5,,,,,,"single-speed, fixed ratio",,,,,,,
Truck,Flash,1999,Solectria,,,,,,,,,"single-speed, fixed ratio",,,,,,,
Sedan/Wagon,Force Lead Acid,1999,Solectria,,,13.7,,,,,,"single-speed, fixed ratio",,,,,,,
Sedan/Wagon,Force NiCd,1999,Solectria,,,13.7,,,,,,"single-speed, fixed ratio",,,,,,,
SUV,RAV4-EV NiMH,1999,Toyota,,,29,37,33,,,,single speed,,,,,,,
SUV,RAV4-EV PbA,1999,Toyota,,,29,37,33,,,,single speed,,,,,,,
Truck,Chevrolet S-10,1998,Chevrolet,,,94,86,90,,,,single-speed,,,,,,,
Truck,Chevrolet S-10 PbA,1998,Chevrolet,,,45,41,43,,,,single-speed,,,,,,,
Truck,Ranger EV,1998,Ford,,,0,0,0,,,,automatic,,"high-efficiency, 3-phase AC induction motor",,,,,
Sedan/Wagon,"EV1-NiMH (CA,AZ)",1998,General Motors EV,,,34,30,32,,,,single speed w/dual reduction,,,,,,,
Sedan/Wagon,"EV1 - PbA (CA, AZ)",1998,General Motors EV,,,30,25,28,,,,single speed w/dual reduction,,"Three Phase, Alternating Current, AC Induction",,,,,
Sedan/Wagon,EV Plus,1998,Honda,,,100,84,92,,,,"single-speed, reduction gear",,,,,,,
SUV,RAV4-EV NiMH (Flts.),1998,Toyota,,,29,37,33,,,,single speed,,,,,,,
SUV,RAV4-EV PbA (Fleets),1998,Toyota,,,29,37,33,,,,single speed,,,,,,,
Truck,Chevrolet S-10 PbA,1997,Chevrolet,,,45,41,43,,,,single-speed,,,,,,,
Truck,Ranger EV,1997,Ford,,,,,,,,,automatic,,"high-efficiency, 3-phase AC induction motor",,,,,
Sedan/Wagon,EV1-Lead Acid,1997,General Motors EV,,,26,26,26,,,,single speed w/dual reduction,,"Three Phase, Alternating Current, AC Induction",,,,,
Van,Plymouth TE Van,1995,Dodge,,,,,,,,,4-speed automatic,,,,,,,